Sequence,Category_Id,Difficulty,SNo,English,Tamil,Category_Name,Category_Name_Tamil
783,62,D2,3,yield,இசைந்து கொடு,Roadways,சாலை வழி
784,62,D2,4,pedestrian,பாதசாரி,Roadways,சாலை வழி
785,62,D2,5,construction,கட்டுமானம்,Roadways,சாலை வழி
786,62,D2,6,entry ramp,நுழைவு சரிவுப் பாதை,Roadways,சாலை வழி
787,62,D2,7,exit ramp,வெளியேறும் சரிவுப் பாதை,Roadways,சாலை வழி
788,62,D2,8,pedestrian cross,பாதசாரிகள் கடக்கும் வழி,Roadways,சாலை வழி
789,62,D2,9,lane change,பாதை மாற்றம்,Roadways,சாலை வழி
790,62,D2,10,median,சாலை இடைநிலை,Roadways,சாலை வழி
791,62,D2,11,curbside,சாலை ஓரம்,Roadways,சாலை வழி
792,62,D2,12,cul-de-sac,முட்டுச் சந்து,Roadways,சாலை வழி
793,62,D2,13,pull-over,சாலை ஓர நிறுத்தம்,Roadways,சாலை வழி
794,62,D2,14,road shoulder,சாலை ஓரப் பகுதி,Roadways,சாலை வழி
795,62,D2,15,reserved parking,முன்பதிவு செய்யப்பட்ட நிறுத்துமிடம்,Roadways,சாலை வழி
796,62,D2,16,traffic jam,போக்குவரத்து நெரிசல்,Roadways,சாலை வழி
797,62,D2,17,driveway,ஓட்டுப் பாதை,Roadways,சாலை வழி
798,62,D2,18,distracted driving,கவனச்சிதறலுடன் வாகனம் ஓட்டுதல்,Roadways,சாலை வழி
799,62,D2,19,parking garage,வாகன நிறுத்துமிடம்,Roadways,சாலை வழி
800,62,D2,20,road signs,சாலை குறியீடுகள்,Roadways,சாலை வழி
